"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
× Elyhordeum stebbinsianum,"(Bowden) Bowden","",purple wildrye,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooidiae,,× Elyhordeum ,,× Elyhordeum stebbinsianum,,,native,SNA,,2018-07-14,"Frank Lomer; Judith Holm",BABY,BABY-11514,,2018-07-14,"Frank Lomer; Judith Holm",BABY,BABY-11514,,3,new 2018,unobserved,"",1435202,VAS
Abies amabilis,"Douglas ex J. Forbes","",Pacific silver fir,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,,,Abies,Abies amabilis,,,,native,S5 (2015),,1912-08-16,"John Davidson",UBC,V5324,,2024-09-21,"Harry Hill",iNaturalist,243225104,,310,confirmed,observed,"",75240,VAS
Abies grandis,"(Douglas ex D. Don) Lindl.","",grand fir,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,,,Abies,Abies grandis,,,,native,S5 (2015),,2015-01-26,"Steve Ansell",iNaturalist,149068173,,2024-10-12,"shane dooley",iNaturalist,247578583,,113,confirmed,observed,"",63690,VAS
Abies lasiocarpa,"(Hooker) Nuttall","",subalpine fir,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,,,Abies,Abies lasiocarpa,,,,native,S5 (2015),,2013-07-25,"Marcin Klisz",iNaturalist,74299223,,2024-09-19,"Jon",iNaturalist,242980219,,57,confirmed,observed,"",75241,VAS
Acer circinatum,"Pursh","",vine maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,Acer,Acer circinatum,,,,native,S5 (2015),,1975-09-14,"Richard Hebda",UBC,V162053,,2024-10-15,"fjfrazier",iNaturalist,247543058,,316,confirmed,observed,"",48258,VAS
Acer glabrum var. douglasii,"Torr.","(Hook.) Dippel",Douglas’ maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,Acer,Acer glabrum,,,douglasii,native,S5 (2015),,1912-08-06,"John Davidson",CPNWH,2468436,,2024-08-17,"Gwen L'Hirondelle",iNaturalist,236663590,,40,confirmed,observed,"",181694,VAS
Acer macrophyllum,"Pursh","",bigleaf maple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,Acer,Acer macrophyllum,,,,native,S5 (2015),,1993-01-01,"MacPhail, J. & Woodward, R.",E,19941712,,2024-10-14,"julesburg",iNaturalist,247424221,,605,confirmed,observed,"",48227,VAS
Achlys triphylla,"(Sm.) DC.","",vanilla leaf,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Berberidaceae,Berberidoideae,,Achlys,Achlys triphylla,,,,native,S5 (2019),,2023-10-06,"Radu Scurtescu",iNaturalist,186609259,,2023-10-06,"Radu Scurtescu",iNaturalist,186609259,,1,new 2023,observed,"",75263,VAS
Achnatherum hymenoides,"(Roem. & Schult.) Barkworth","",indian ricegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooidiae,,Achnatherum,Achnatherum hymenoides,,,,native,S4 (2015),,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:7,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:7,,1,new 2020,unobserved,"UBC: Bowen Island Mt. Gardner",117413,VAS
Acmispon parviflorus,"(Benth.) D.D. Sokoloff","",short-flower deervetch,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Acmispon,Acmispon parviflorus,,,,native,S4S5 (2019),,1981-05-13,"Adolf Ceska; Oldriska Ceska; Robert Ogilvie",RBCM,V154855,,2024-10-06,"Gavin Petersen",iNaturalist,246049524,,25,confirmed,observed,"",57048,VAS
