"","VRI2024_ID","FEATURE_ID_match","POLYGON_ID_match"
"1",141934,NA,NA
"2",141959,NA,NA
"3",142079,NA,NA
"4",142125,NA,NA
"5",142140,NA,NA
"6",142141,NA,NA
"7",142226,NA,NA
"8",142240,NA,NA
"9",142264,NA,NA
"10",142266,NA,NA
"11",142268,NA,NA
"12",142505,NA,NA
"13",142516,NA,NA
"14",142579,NA,NA
"15",142644,NA,NA
"16",142702,NA,NA
"17",142706,NA,NA
"18",142823,NA,NA
"19",142842,NA,NA
"20",142846,NA,NA
"21",142994,NA,NA
"22",142995,NA,NA
"23",142996,NA,NA
"24",143179,NA,NA
"25",143204,NA,NA
"26",143205,NA,NA
"27",143206,NA,NA
"28",143207,NA,NA
"29",143295,NA,NA
"30",143316,NA,NA
"31",143319,NA,NA
"32",143326,NA,NA
"33",143334,NA,NA
"34",143335,NA,NA
"35",143342,NA,NA
"36",143384,NA,NA
"37",143526,NA,NA
"38",143541,NA,NA
"39",143546,NA,NA
"40",143547,NA,NA
"41",143560,NA,NA
"42",143561,NA,NA
"43",143566,NA,NA
"44",143575,NA,NA
"45",143623,NA,NA
"46",143624,NA,NA
"47",143648,NA,NA
"48",143664,NA,NA
"49",143749,NA,NA
"50",143760,NA,NA
"51",143774,NA,NA
"52",143801,NA,NA
"53",143913,NA,NA
"54",143917,NA,NA
"55",144001,NA,NA
"56",144002,NA,NA
"57",144020,NA,NA
"58",144076,NA,NA
"59",144094,NA,NA
"60",144110,NA,NA
"61",144170,NA,NA
"62",144171,NA,NA
"63",144205,NA,NA
"64",144343,NA,NA
"65",144347,NA,NA
"66",144418,NA,NA
"67",144486,NA,NA
"68",144501,NA,NA
"69",144507,NA,NA
"70",144509,NA,NA
"71",144510,NA,NA
"72",144511,NA,NA
"73",144532,NA,NA
"74",144591,NA,NA
"75",144592,NA,NA
"76",144594,NA,NA
"77",144742,NA,NA
"78",144747,NA,NA
"79",144841,NA,NA
"80",144842,NA,NA
"81",144907,NA,NA
"82",144913,NA,NA
"83",144921,NA,NA
"84",144949,NA,NA
"85",145016,NA,NA
"86",145056,NA,NA
"87",145127,NA,NA
"88",145212,NA,NA
"89",145219,NA,NA
"90",145225,NA,NA
"91",145312,NA,NA
"92",145315,NA,NA
"93",145331,NA,NA
"94",145422,NA,NA
"95",145425,NA,NA
"96",145468,NA,NA
"97",145536,NA,NA
"98",145558,NA,NA
"99",145580,NA,NA
"100",145588,NA,NA
"101",145606,NA,NA
"102",145614,NA,NA
"103",145689,NA,NA
"104",145694,NA,NA
"105",145766,NA,NA
"106",145770,NA,NA
"107",145892,NA,NA
"108",145969,NA,NA
"109",146036,NA,NA
"110",146038,NA,NA
"111",146062,NA,NA
"112",146083,NA,NA
"113",146134,NA,NA
"114",146140,NA,NA
"115",146144,NA,NA
"116",146232,NA,NA
"117",146236,NA,NA
"118",146363,NA,NA
"119",146398,NA,NA
"120",146422,NA,NA
"121",146424,NA,NA
"122",146520,NA,NA
"123",146570,NA,NA
"124",146573,NA,NA
"125",146669,NA,NA
"126",146832,NA,NA
"127",146938,NA,NA
"128",146939,NA,NA
"129",146969,NA,NA
"130",147037,NA,NA
"131",147058,NA,NA
"132",147090,NA,NA
"133",147167,NA,NA
"134",147192,NA,NA
"135",147221,NA,NA
"136",147294,NA,NA
"137",147326,NA,NA
"138",147374,NA,NA
"139",147395,NA,NA
"140",147490,NA,NA
"141",147498,NA,NA
